standard,diameter,tolerance,cross_sec,mass,min_ohm_,rated_ohm_m,max_ohm_m,g1_D-d_min,g1_D_max,g2_D-d_min,g2_D_max,sb_increase,sb_g18_D,b_g28_D
NS,0.160,0.003,0.02011,0.1787,0.8122,0.8502,0.8906,0.012,0.182,0.023,0.199,0.010,0.197,0.209
,0.170,0.003,0.02270,0.2018,0.7211,0.7531,0.7871,0.013,0.194,0.025,0.205,0.010,0.210,0.221
NS,0.180,0.003,0.02545,0.2262,0.6444,0.6718,0.7007,0.013,0.204,0.025,0.217,0.010,0.220,0.233
,0.190,0.003,0.02835,0.2521,0.5794,0.6029,0.6278,0.014,0.216,0.027,0.228,0.011,0.233,0.245
NS,0.200,0.003,0.03142,0.2793,0.5237,0.5441,0.5657,0.014,0.226,0.027,0.239,0.011,0.243,0.256
,0.212,0.003,0.03530,0.3138,0.4669,0.4843,0.5026,0.015,0.240,0.029,0.254,0.012,0.258,0.272
NS,0.224,0.003,0.03941,0.3503,0.4188,0.4338,0.4495,0.015,0.252,0.029,0.266,0.012,0.270,0.284
,0.236,0.004,0.04374,0.3889,0.3747,0.3908,0.4079,0.017,0.267,0.032,0.283,0.013,0.286,0.302
NS,0.250,0.004,0.04909,0.4364,0.3345,0.3482,0.3628,0.017,0.281,0.032,0.297,0.013,0.300,0.316
,0.265,0.004,0.05515,0.4903,0.2982,0.3099,0.3223,0.018,0.297,0.033,0.314,0.013,0.316,0.333
NS,0.280,0.004,0.06158,0.5474,0.2676,0.2776,0.2882,0.018,0.312,0.033,0.329,0.013,0.331,0.348
,0.300,0.004,0.07069,0.6284,0.2335,0.2418,0.2506,0.019,0.334,0.035,0.352,0.014,0.354,0.372
NS,0.315,0.004,0.07793,0.6928,0.2121,0.2193,0.2270,0.019,0.349,0.035,0.367,0.014,0.369,0.387
,0.335,0.004,0.08814,0.7836,0.1878,0.1939,0.2004,0.020,0.372,0.038,0.391,0.015,0.393,0.412
NS,0.355,0.004,0.09898,0.8799,0.1674,0.1727,0.1782,0.020,0.392,0.038,0.411,0.015,0.413,0.432
,0.375,0.005,0.11045,0.9819,0.1494,0.1548,0.1604,0.021,0.414,0.040,0.434,0.016,0.436,0.456
NS,0.400,0.005,0.12566,1.1172,0.1316,0.1360,0.1407,0.021,0.439,0.040,0.459,0.016,0.461,0.481
,0.425,0.005,0.14186,1.2612,0.1167,0.1205,0.1244,0.022,0.466,0.042,0.488,0.016,0.489,0.511
NS,0.450,0.005,0.15904,1.4139,0.1042,0.1075,0.1109,0.022,0.491,0.042,0.513,0.016,0.514,0.536
,0.475,0.005,0.17721,1.5754,0.09366,0.09646,0.09938,0.024,0.519,0.045,0.541,0.017,0.543,0.565
NS,0.500,0.005,0.1963,1.746,0.08462,0.08706,0.08959,0.024,0.544,0.045,0.566,0.017,0.568,0.590
,0.530,0.006,0.2206,1.961,0.07512,0.07748,0.07995,0.025,0.058,0.047,0.600,0.017,0.600,0.624
NS,0.560,0.006,0.2463,2.190,0.06736,0.06940,0.07153,0.025,0.606,0.047,0.630,0.017,0.630,0.654
,0.600,0.006,0.2827,2.514,0.05876,0.06046,0.06222,0.027,0.649,0.050,0.674,0.018,0.674,0.699
NS,0.630,0.006,0.3117,2.771,0.05335,0.05484,0.05638,0.027,0.679,0.050,0.704,0.018,0.704,0.729
,0.670,0.007,0.3526,3.134,0.04708,0.04848,0.04994,0.028,0.722,0.053,0.749,0.019,0.748,0.775
NS,0.710,0.007,0.3959,3.520,0.04198,0.04318,0.04442,0.028,0.762,0.053,0.789,0.019,0.788,0.815
,0.750,0.008,0.4418,3.927,0.03756,0.03869,0.03987,0.030,0.805,0.056,0.834,0.020,0.832,0.861
NS,0.800,0.008,0.5027,4.469,0.03305,0.03401,0.03500,0.030,0.855,0.056,0.884,0.020,0.882,0.911
,0.850,0.009,0.5675,5.045,0.02925,0.03012,0.03104,0.032,0.909,0.060,0.939,0.020,0.937,0.967
NS,0.900,0.009,0.6362,5.656,0.02612,0.02687,0.02765,0.032,0.959,0.060,0.989,0.020,0.987,1.017
,0.950,0.010,0.7088,6.301,0.02342,0.02412,0.02484,0.034,1.012,0.063,1.044,0.021,1.041,1.073
NS,1.000,0.010,0.7854,6.982,0.02116,0.02176,0.02240,0.034,1.062,0.063,1.094,0.021,1.091,1.123
,1.060,0.011,0.8825,7.845,,0.01937,,0.034,1.124,0.065,1.157,0.022,1.154,1.187
NS,1.120,0.011,0.9852,8.758,,0.01735,,0.034,1.184,0.065,1.217,0.022,1.214,1.247
,1.180,0.012,1.094,9.722,,0.01563,,0.035,1.246,0.067,1.279,0.022,1.276,1.309
NS,1.250,0.013,1.227,10.91,,0.01393,,0.035,1.316,0.067,1.349,0.022,1.346,1.379
,1.320,0.013,1.368,12.17,,0.01249,,0.036,1.388,0.069,1.422,0.023,1.419,1.453
NS,1.400,0.014,1.539,13.69,,0.01110,,0.036,1.468,0.069,1.502,0.023,1.499,1.533
,1.500,0.015,1.767,15.71,,0.009673,,0.038,1.570,0.071,1.602,0.023,1.602,1.638
NS,1.600,0.016,2.011,17.87,,0.008502,,0.038,1.670,0.071,1.706,0.023,1.702,1.738
,1.700,0.017,2.270,20.18,,0.007531,,0.039,1.772,0.073,1.809,0.024,1.805,1.842
NS,1.800,0.018,2.545,22.62,,0.006718,,0.039,1.872,0.073,1.909,0.024,1.905,1.942
,1.900,0.019,2.835,25.21,,0.006029,,0.040,1.974,0.075,2.012,0.025,2.008,2.046
NS,2.000,0.020,3.142,27.93,,0.005441,,0.040,2.074,0.075,2.112,0.025,2.108,2.146
,2.120,0.021,3.530,31.38,,0.004843,,0.041,2.196,0.077,2.235,,,
NS,2.240,0.022,3.941,35.03,,0.004338,,0.041,2.316,0.077,2.355,,,
,2.360,0.024,4.374,38.89,,0.003908,,0.042,2.438,0.079,2.478,,,
NS,2.500,0.025,4.909,43.64,,0.003482,,0.042,2.578,0.079,2.618,,,
,2.650,0.027,5.515,49.03,,0.003099,,0.043,2.730,0.081,2.772,,,
NS,2.800,0.028,6.158,54.74,,0.002776,,0.043,2.880,0.081,2.922,,,
,3.000,0.030,7.069,62.84,,0.002418,,0.045,3.083,0.084,3.126,,,
NS,3.150,0.032,7.793,69.28,,0.002193,,0.045,3.233,0.084,3.276,,,
,3.350,0.034,8.814,78.36,,0.001939,,0.046,3.435,0.086,3.479,,,
NS,3.550,0.036,9.898,87.99,,0.001727,,0.046,3.635,0.086,3.679,,,
,3.750,0.038,11.04,98.19,,0.001548,,0.047,3.838,0.089,3.883,,,
NS,4.000,0.040,12.57,111.7,,0.001360,,0.047,4.088,0.089,4.133,,,
,4.250,0.043,14.19,126.1,,0.001205,,0.049,4.341,0.092,4.387,,,
NS,4.500,0.045,15.90,141.4,,0.001075,,0.049,4.591,0.092,4.637,,,
,4.750,0.048,17.72,157.5,,0.000965,,0.050,4.843,0.094,4.891,,,
NS,5.000,0.050,19.63,174.6,,0.000871,,0.050,5.093,0.094,5.141,,,
